date,sent
4/1/16,0.06034375
4/2/16,0.073325843
4/3/16,0.07559596
4/4/16,0.029174129
4/5/16,-3.54E-05
4/6/16,0.054485251
4/7/16,0.040914221
4/8/16,0.021290598
4/9/16,0.079789474
4/10/16,0.054826446
4/11/16,0.059107011
4/12/16,0.029947368
4/13/16,0.005270353
4/14/16,0.05604712
4/15/16,0.023090032
4/16/16,0.07759
4/17/16,0.053743243
4/18/16,0.038114168
4/19/16,0.029691244
4/20/16,0.039805281
4/21/16,0.032138889
4/22/16,0.0355
4/23/16,0.071683333
4/24/16,0.047906977
4/25/16,0.04426383
4/26/16,0.026229851
4/27/16,0.029478723
4/28/16,0.091371665
4/29/16,0.103332389
4/30/16,0.089877193
5/1/16,0.080557823
5/2/16,0.08393356
5/3/16,0.06131746
5/4/16,0.078200837
5/5/16,0.056299145
5/6/16,0.061794521
5/7/16,0.047495575
5/8/16,0.067263736
5/9/16,0.061797619
5/10/16,0.08702145
5/11/16,0.017587258
5/12/16,0.035799026
5/13/16,0.022036025
5/14/16,0.053100671
5/15/16,0.026754601
5/16/16,0.029157534
5/17/16,0.056567652
5/18/16,0.040865225
5/19/16,0.032127983
5/20/16,0.082388889
5/21/16,0.036901515
5/22/16,0.044070707
5/23/16,0.04456
5/24/16,0.018943694
5/25/16,0.050893048
5/26/16,0.046916067
5/27/16,0.059918728
5/28/16,0.055607843
5/29/16,0.070727273
5/30/16,0.048707792
5/31/16,0.066155367
6/1/16,0.056396617
6/2/16,0.047403326
6/3/16,0.042359882
6/4/16,0.055534653
6/5/16,0.04116
6/6/16,0.034173285
6/7/16,0.043887906
6/8/16,0.079443011
6/9/16,0.072137339
6/10/16,0.037413793
6/11/16,0.039888889
6/12/16,0.03088
6/13/16,0.051607843
6/14/16,0.052496644
6/15/16,0.015290909
6/16/16,0.038602007
6/17/16,0.065522876
6/18/16,0.033327869
6/19/16,0.052472222
6/20/16,0.074479839
6/21/16,0.049882129
6/22/16,0.05230163
6/23/16,0.064512579
6/24/16,0.060641399
6/25/16,0.090376812
6/26/16,0.031728571
6/27/16,0.049424419
6/28/16,0.059743142
6/29/16,0.067862445
6/30/16,0.051511792
7/1/16,0.074737913
7/2/16,0.057081301
7/3/16,0.057009524
7/4/16,0.062592593
7/5/16,0.069566434
7/6/16,0.084365854
7/7/16,0.071128019
7/8/16,0.068582126
7/9/16,0.035517241
7/10/16,0.037
7/11/16,0.064840183
7/12/16,0.046027523
7/13/16,0.05985396
7/14/16,0.053422559
7/15/16,0.023232258
7/16/16,0.061765957
7/17/16,0.021840909
7/18/16,0.041151442
7/19/16,0.040522788
7/20/16,0.069021201
7/21/16,0.059613139
7/22/16,0.058455026
7/23/16,0.076991935
7/24/16,0.074721311
7/25/16,0.063793103
7/26/16,0.06011336
7/27/16,0.077233728
7/28/16,0.100075458
7/29/16,0.091915104
7/30/16,0.071236994
7/31/16,0.072942446
8/1/16,0.072474138
8/2/16,0.068907692
8/3/16,0.058234921
8/4/16,0.055126214
8/5/16,0.050515982
8/6/16,0.047410448
8/7/16,0.053736111
8/8/16,0.053094718
8/9/16,0.053289773
8/10/16,0.050348148
8/11/16,0.049132979
8/12/16,0.041127572
8/13/16,0.045674419
8/14/16,0.043297297
8/15/16,0.06660355
8/16/16,0.045964981
8/17/16,0.076527378
8/18/16,0.052771429
8/19/16,0.038967828
8/20/16,0.073884298
8/21/16,0.013587302
8/22/16,0.072437037
8/23/16,0.053399002
8/24/16,0.037127273
8/25/16,0.071614754
8/26/16,0.08265873
8/27/16,0.076679104
8/28/16,0.088348837
8/29/16,0.05640458
8/30/16,0.051276056
8/31/16,0.074071979
9/1/16,0.058765789
9/2/16,0.07816041
9/3/16,0.016216667
9/4/16,0.085452632
9/5/16,0.074325
9/6/16,0.078087221
9/7/16,0.048865828
9/8/16,-0.008014164
9/9/16,0.036390428
9/10/16,0.031819095
9/11/16,0.049819549
9/12/16,0.036547739
9/13/16,0.077906542
9/14/16,0.028334056
9/15/16,0.048221545
9/16/16,0.064291391
9/17/16,0.060114504
9/18/16,0.057495935
9/19/16,0.03986612
9/20/16,0.057528986
9/21/16,0.070662198
9/22/16,0.08034
9/23/16,0.063041958
9/24/16,0.070846715
9/25/16,0.02625
9/26/16,0.054019774
9/27/16,0.090082136
9/28/16,0.07497493
9/29/16,0.059336957
9/30/16,0.091135283
10/1/16,0.059462882
10/2/16,0.045101911
10/3/16,0.057542574
10/4/16,0.066910714
10/5/16,0.089792359
10/6/16,0.07225089
10/7/16,0.056236769
10/8/16,0.059969231
10/9/16,0.07309322
10/10/16,0.029082508
10/11/16,0.0654098
10/12/16,0.046629389
10/13/16,0.069426829
10/14/16,0.066531818
10/15/16,0.038505319
10/16/16,0.033636364
10/17/16,0.055160748
10/18/16,0.060295896
10/19/16,0.053544794
10/20/16,0.028830835
10/21/16,0.030262295
10/22/16,0.036536145
10/23/16,0.059104478
10/24/16,0.07781685
10/25/16,0.070587037
10/26/16,0.031541284
10/27/16,0.044169309
10/28/16,0.058418103
10/29/16,0.049658768
10/30/16,0.036092593
10/31/16,0.070971717
11/1/16,0.068588235
11/2/16,0.030207921
11/3/16,0.038140097
11/4/16,0.050842105
11/5/16,0.016641026
11/6/16,0.043398058
11/7/16,0.061713158
11/8/16,0.050565836
11/9/16,0.048879781
11/10/16,0.032267705
11/11/16,0.031222222
11/12/16,0.048270677
11/13/16,0.048566667
11/14/16,0.0479869
11/15/16,0.035677596
11/16/16,0.062780435
11/17/16,0.073699482
11/18/16,0.070005376
11/19/16,0.0486
11/20/16,0.047185714
11/21/16,0.076989458
11/22/16,0.060390432
11/23/16,0.048925508
11/24/16,0.041138047
11/25/16,0.051462921
11/26/16,0.047659686
11/27/16,0.050129534
11/28/16,0.052955385
11/29/16,0.055712121
11/30/16,0.057400347
12/1/16,0.05606135
12/2/16,0.060919087
12/3/16,0.061664286
12/4/16,0.06910582
12/5/16,0.050011509
12/6/16,0.065833585
12/7/16,0.055187008
12/8/16,0.042318982
12/9/16,0.050095238
12/10/16,0.058146199
12/11/16,0.08040625
12/12/16,0.065633766
12/13/16,0.049857447
12/14/16,0.055878788
12/15/16,0.052044335
12/16/16,0.050611111
12/17/16,0.036429293
12/18/16,0.054824818
12/19/16,0.071532164
12/20/16,0.044419355
12/21/16,0.038089918
12/22/16,0.062327366
12/23/16,0.066616438
12/24/16,0.07496748
12/25/16,0.05200625
12/26/16,0.025040936
12/27/16,0.111584783
12/28/16,0.100629834
12/29/16,0.061871237
12/30/16,0.066643545
12/31/16,0.053770115
1/1/17,0.06404908
1/2/17,0.041522936
1/3/17,0.064263063
1/4/17,0.063040336
1/5/17,0.050380414
1/6/17,0.062432099
1/7/17,0.063554687
1/8/17,0.049757991
1/9/17,0.065297741
1/10/17,0.064520513
1/11/17,0.070843137
1/12/17,0.075677165
1/13/17,0.074252366
1/14/17,0.049149701
1/15/17,0.062719368
1/16/17,0.049786008
1/17/17,0.071801724
1/18/17,0.05094533
1/19/17,0.069814286
1/20/17,0.099657303
1/21/17,0.085675325
1/22/17,0.063248447
1/23/17,0.073875803
1/24/17,0.080464143
1/25/17,0.11359432
1/26/17,0.071358108
1/27/17,0.077329759
1/28/17,0.056514286
1/29/17,0.060248366
1/30/17,0.06279798
1/31/17,0.067111111
2/1/17,0.069310811
2/2/17,0.05502748
2/3/17,0.060927523
2/4/17,0.069781991
2/5/17,0.056930131
2/6/17,0.068173367
2/7/17,0.083039906
2/8/17,0.063048673
2/9/17,0.081268585
2/10/17,0.050250597
2/11/17,0.046216495
2/12/17,0.07113913
2/13/17,0.059724206
2/14/17,0.058463158
2/15/17,0.077926078
2/16/17,0.071866667
2/17/17,0.088751064
2/18/17,0.05867052
2/19/17,0.0743125
2/20/17,0.076928082
2/21/17,0.089377395
2/22/17,0.090787185
2/23/17,0.058279255
2/24/17,0.048915408
2/25/17,0.056418605
2/26/17,0.083992126
2/27/17,0.111294589
2/28/17,0.019572079
3/1/17,0.015376426
3/2/17,0.028834382
3/3/17,0.041117541
3/4/17,0.051601064
3/5/17,0.042168724
3/6/17,0.059488189
3/7/17,0.051311164
3/8/17,0.055406103
3/9/17,0.07769338
3/10/17,0.073334532
3/11/17,0.075765306
3/12/17,0.094922078
3/13/17,0.066124294
3/14/17,0.057045872
3/15/17,0.083144092
3/16/17,0.0940721
3/17/17,0.047990164
3/18/17,0.070916667
3/19/17,0.066632075
3/20/17,0.082300366
3/21/17,0.075846154
3/22/17,0.063043988
3/23/17,0.065530172
3/24/17,0.063833333
3/25/17,0.068568421
3/26/17,0.098169643
3/27/17,0.067009709
3/28/17,0.113353635
3/29/17,0.106526316
3/30/17,0.085364486
3/31/17,0.090266904
4/1/17,0.092487603
4/2/17,0.114264706
4/3/17,0.077762162
4/4/17,0.084365416
4/5/17,0.094131434
4/6/17,0.059415797
4/7/17,0.065223684
4/8/17,0.07095
4/9/17,0.086034188
4/10/17,0.08881128
4/11/17,0.076706349
4/12/17,0.082773494
4/13/17,0.059034286
4/14/17,0.04225
4/15/17,0.092057692
4/16/17,0.070166667
4/17/17,0.064090909
4/18/17,0.095579114
